tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
2018-10-02,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Petugas Instansi Lain,Jl. KAV Polri,Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Raya Pulo gebang gg Warung Nangka,pulo gebang,Cakung,Kota Administrasi Jakarta Timur,0,5000000,2018-10-01
2018-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. M.H. Thamrin No.6,Kebon Sirih,Menteng,Kota Administrasi Jakarta Pusat,0,140000000,2018-10-01
2018-10-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.H.Lahad No.2,Petukangan Selatan,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-03,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Telepon,"Jl.Pusdiklat Depnaker,Gg.Al-Ikhlas No.46",Makasar,Makasar,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Lapangan Bola,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Pasa,Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,0,15000000,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Taman Aries Blok E4 No.6,Meruya Utara,Kembangan,Kota Administrasi Jakarta Barat,0,0,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Agus Salim No.22C,Kebon Sirih,Menteng,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Daksina Pati Timur Ano.11A,Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kapuk Kamal Kayu Besar No.89,Kamal Muara,Penjaringan,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Pegangsaan Dua No.112,Pegangsaan Dua,Kelapa Gading,Kota Administrasi Jakarta Utara,3,200000000,2018-10-01
2018-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Asam Baris Raya,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Pule,Rambutan,Ciracas,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"TPU Kampung Kandang, Jl. Tohir",Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-04,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Telepon,Tol Jagorawi Arah Bogor,Bogor,Bogor,Kota Bogor,0,0,2018-10-01
2018-10-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Tebet Raya No 5,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"PT. Mega Finance, Jl. Pondok Kopi Raya No.5A",Pondok Kopi,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Muara Bahari No.37,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,1,200000000,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kampung Muka,Pademangan Barat,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Lumba - Lumba II, No.27",Jati,Pulogadung,Kota Administrasi Jakarta Timur,1,10000000,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Duri Kosambi Gg. Darul Fatin,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,0,2000000,2018-10-01
2018-10-04,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl. Munggang,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-04,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Dwi Warna (Sekolah Santa Yoseph),Kartini,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Stadion GBK, Jl. Asia Afrika",Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-04,Penyelamatan,Bencana pada Ketinggian (operasi penyelamatan Beda Ketinggian),Jakarta Siaga 112,Jl. KKO Usman Harun,Gambir,Gambir,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Palbatu V No.8,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kopaja,Rawa Buaya,Cengkareng,Kota Administrasi Jakarta Barat,0,20000000,2018-10-01
2018-10-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. TB. Simatupang No.17,Cilandak Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. LA 42,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Teratai No. 21 Komplek bermis,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,2018-10-01
2018-10-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Raden Inten II ( Gedung BKON ),duren sawit,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,2018-10-01
2018-10-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kampung Pertanian Selatan,klender,Duren Sawit,Kota Administrasi Jakarta Timur,18,950000000,2018-10-01
2018-10-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. K.S Tubun Komplek Brimob,slipi,Palmerah,Kota Administrasi Jakarta Barat,0,2500000,2018-10-01
2018-10-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Benyamin Sueb,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. HBR motik,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-10-01
2018-10-05,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Saraswati Ujung No. 37,Cipete utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. KH Moh Naim 1 no. 55,Cipete utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Percetakan Negara No. 76,Rawasari,Cempaka Putih,Kota Administrasi Jakarta Pusat,0,10000000,2018-10-01
2018-10-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Raya Tipar Cakung,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-10-01
